,Col1,Col2,Col3,Col4,Col5,Col6,Col7
277,Covalent Extractions,6501 Creedmoor Rd. Ste207,919-825-1400,HP 669,Raleigh,NC,276013
278,Cowan's Fantastic Fungi LLC,13118 Megan Dr,980-781-6346,HP 1241,Rockwell,NC,28138
279,"Creative Canna Flower, LLC",7316 Lake Juno Rd,336-430-3946,HP 408,Liberty,NC,27298
280,Creative Solution Services LLC,757 Haywood Road,828-407-3710,HP 59,Asheville,NC,28806
281,Criticality,"1900 Stantonsburg Rd, SE","252-640-3440,252-640-3451",HP 60,Wilson,NC,27893
282,Crossroads Hemp Company,731 Stony Point Road,"704-472-5365,704-739-2958",HP 1253,Kings Mountain,NC,28086
283,Crystal Coast Cannabis,6760 Hwy 70,"252-223-2998,252-241-7901",HP 387,Newport,NC,28570
284,Crystal Coast Farms,680 Swansboro Loop Rd,910-389-0064,HP 791,Swansboro,NC,28584
285,Crystal Field,6700 Big Level Rd,828-674-8250,HP 938,Mill Spring,NC,28756
286,Cubed Gummies,622B W 1st Street,828-774-6149,HP 871,Winston-Salem,NC,27101
287,"Cultivation of Agriculture, INC",2812 Starita Road,980-333-7860,HP 64,Charlotte,NC,28269
288,Cunningham Brothers Farm,5681 Hull Rd,252-521-7968,HP 1147,LaGrange,NC,28551
289,Cure Based Development,10130 Perimeter Pkwy Suite 200,619-800-8084,HP 65,Charlotte,NC,28216
290,Cuz's Farm LLC,11101 Coachman Circle,794-574-0606,HP 1114,Charlotte,NC,28277
291,D. Gene Koons,4676 Antioch Rd,919-691-4081,HP 671,Oxford,NC,27565
292,D3 processing,,910-214-6036,HP 551,Clinton,NC,28328
293,"Dalton-Bethea, Shawn",1001 North Elm Street,336-501-3793,HP 567,Greensboro,NC,27401
294,"Dandy Andy’s Organics, LLC",6309 Wrightsville Ave,910-431-6334,HP 66,Wilmington,NC,28403
295,Daniel O'Dell,9235 Woodstream Dr.,252-373--8102,HP 846,Bailey,NC,27807
296,Daniel Snyder,540 Community  Road,336-408-7533,HP 947,Lexington,NC,27295
297,Daran Goines,1822 Grier Ave,312446-8936,HP 781,Charlotte,NC,28216
298,Dark Hollow Farm LLC,59 Allwood Dr,910-279-9639,HP 409,Fletcher,NC,28732
299,Darrells Hemp Processing,5290 Mayo Farm Rd,252-799-7017,HP 1183,Oak City,NC,27857
300,DASPOT,PO Box 1423,919-827-5332,HP 1064,Knightdale,NC,27545
301,David McDuffie,3610 Sturbridge Drive,910-785-0882,HP 722,Hope Mills,NC,28348
302,David Russell Achenbaugh,1096 Mackey Creek Rd,,HP 912,Old Fort,NC,28762
303,David Simmons,928 S Plum Street,919-225-4452,HP 1090,Durham,NC,27701
304,"Davis, Tiffany S.",2715 West Sugar Creek Rd,980-949-8490,HP 453,Charlotte,NC,28262
305,DAX Botanicals LLC,26 N. Broad St. E,919-696-1577,HP 1028,Angier,NC,27501
306,NA,Apt 101,336-339-2832,HP 336,Raleigh,NC,27606
307,Dayone Organics,46 A Gorman Bridge Rd.,570-728-0122,HP 531,Asheville,NC,28804
308,Dayton Pfenning,451 Alf Hoover Rd,269-760-1966,HP 1161,Lincolnton,NC,28092
309,"DBT Holdings, LLC",3630 Tryclan Drive,704-900-6606,HP 1206,Charlotte,NC,28217
310,Delta 9,1925 Piney Grove Road,336-823-2986,HP 633,Kernersville,NC,27284
311,"Delta-8 Distillery, LLC",715 Cardwell Lane,704-807-9982,HP 1254,Fletcher,NC,28732
312,Denare USA Inc,230 Clary Ave,323-847-4069,HP 1049,San Gabriel,CA,91776
313,Deutermann Farms,947 Falls Park Dr,919-285-6881,HP 1258,Sanford,NC,27330
314,Ding Dang Donkey LLC,4276 Rector Corner Rd,804-662-0964,HP 909,Marshall,NC,28753
315,Direct To You Merchandise LLC,101 North Main Street,310-877-5020,HP 861,Star,NC,27356
316,Display Your Graphics/Bee Healthy O,2801 Chimney Rock Road,828-489-2282,HP 637,Hendersonville,NC,28792
317,DK Distribution,5755-B NC Hwy 42 West,919-412-7380,HP 804,Garner,NC,27529
318,Do No Harmacy,4400 E. Independence Blvd,704-334-8651,HP 67,Charlotte,NC,28205
319,Dobra Tea,78 N Lexington Av,828-772-9943,HP 68,Asheville,NC,28801
320,Dome Home Farms,1668 Utah Mountain Rd,919-741-9508,HP 622,Waynesville,NC,28785
321,Dominion Management Co.,710 Buck Hill Rd.,904-327-0074,HP 274,Newland,NC,28657
322,Donavan Burton,5 Cameroons Place,919-358-8506,HP 652,Durham,NC,27703
323,Double K Farm,81 Peavine Lane,828-557-0123,HP 1088,Andrews,NC,28901
324,Down 420 Lane,8214 U.S. Hwy 158,336-837-5125,HP 70,Stokesville,NC,27357
325,Down Range Productions LLC,206 Adriondack Lane,828-755-1692,HP 71,Bostic,NC,28018
326,Dragon Gate Farm,221 Alexander Road,828-275-8754,HP 72,Alexander,NC,28701
327,"Driver, Elizabeth Darsey",817 Reems Creek Road,336-692-7615,HP 73,Weaverville,NC,28787
328,E&S Hemp Company,675 W. Firetower Rd Ste D,252-560-9539,HP 81,Winterville,NC,
329,E.O.F.,10411 Tusquittee Road,404-312-5504,HP 978,Hayesville,NC,28904
330,EA Palmer & Company llc,2591 Wedgewood Drive,315-289-7802,HP 795,Spartanburg,SC,29302
331,EarnWel's Hemp,2950 Bringle Ferry Rd,704-636-7929,HP 895,Salisury,NC,28146
332,Earth Source International,533 Mountain Lake Drive,919-625-7684,HP 76,Raleigh,NC,27610
333,"Earthland Community Development,",206 N Bond St,910-774-2846,HP 1219,Rowland,NC,28383
334,EarthNC LLC,301 Lewis St.,713-882-4300,HP 264,Oxford,NC,27565
335,East Bend Extracting,340 Highway 67 By Pass,336-972-1744,HP 830,East Bend,NC,27018
336,East Carolina Hemp Extractors,1845 US Hwy 13 N,252-325-2899,HP 1181,Ahoskie,NC,27910
337,"East Coast Hemp Supply, INC",73 VS Lee Lane,910-237-1331,HP 77,Dunn,NC,28334
338,East Coast Medicinals,3329E Wrightsville Ave,910-789-4448,HP 863,Wilmington,NC,28403
339,Ebony Phillips,1500 Oak Shire Ct Apt. A,336-575-3976,HP 730,Winston-Salem,NC,27107
340,Eden Essential Oils Producers,159 Mabes Rd.,336-430-0733,HP 78,Eden,NC,27228
341,Edens Supernatural Herbs,136 Galilee Church Rd,704-460-2256,HP 532,Kings Mountain,NC,28086
342,Edwin (Darrell) Sanders,6827 Meadowbranch  Rd,336-953-2647,HP 870,Seagrove,NC,27841
343,Elevated Chocolates,44 E Hester Ct.,919-995-4402,HP 596,Wendell,NC,27591
344,"Eliana’s Canna, LLC",221 North Glenn St,336-573-7276,HP 953,Stoneville,NC,27048
345,"Eliana's Garden, LLC",221 North Glenn St.,336-314-1329,HP 540,Stoneville,NC,27048
346,Elijah's Farm,9419 Theresa Lane,919-423-8219,HP 1159,Rougement,NC,27572
347,Elite Canna Solutions,167 Smokey Park Hwy,800-800-5821,HP 79,Asheville,NC,28806
348,Elite Canna Solutions LLC,167 Smokey Park Hwy,800-800-5821,HP 1208,Asheville,NC,28806
349,Ember Hemp LLC,800 Vengeance Creek Rd,210-475-2741,HP 880,Marble,NC,28905
350,Emerald Ascent LLC (1),50 High Pont Lane,508-365-8456,HP 750,Marion,NC,28752
351,Emerald Ascent LLC (2),206 Stoney Knob Road,,HP 853,Weaverville,NC,28787
352,Emerson Naturals,72 Hazel Mill Road,"828-773-8042,kyle@emersonnatu",HP 232,Asheville,NC,28806
353,En-Cas Laboratories,2359 Farrington Point Dr,336-785-3252,HP 767,Winston-Salem,NC,27107
354,"Endless Distribution, LLC","105 Fairview Rd, Suite 40",314-640-9721,HP 905,Asheville,NC,28803
355,Entire Support,2141 Meadowbrook Rd,305-528-2630,HP 966,Rocky Mount,NC,27801
356,"Entlasten, LLP",231 Corinth Ave,614-975-8342,HP 80,Dunn,NC,28334
357,Entourage Inc,3228 Asheville Hwy,401-668-8801,HP 650,Pisgah Forest,NC,28768
358,"Envention Enterprises, LLC",798 Starnes Cove Road,envention@gmail.c,HP 74,Asheville,NC,28806
359,Envision Green LLC,PO Box 7643,910-209-4958,HP 1047,Wimington,NC,28406
360,Epic Remedy Processing,6707 Netherlands Drive,910-350-2667,HP 645,Wilmington,NC,28405
361,"Epiphany Craft Malt, LLC",2700 Angier Avenue,919-699-6733,HP 75,Durham,NC,27703
362,Ervin Lee Murphy,604 Dowfield Dr,,HP 1227,Fayetteville,NC,28311
363,"Essence of Purity Enterprises, Inc",1415 Willow Brook Ct.,919-451-4761,HP 1025,Mebane,NC,27302
364,Essential Expressions (1),3400 Maritime Wood Drive,252-923-8273,HP 509,Manteo,NC,27594
365,Essential Expressions (2),2401 N. Croatan Hwy Suite 4,252-923-8273,HP 510,Kill Devil Hills,NC,27948
366,Eternal Roots Organic Farm,4743 Will Inman Road,843-543-0090,HP 1128,Tabor City,NC,28463
367,Ethereal Leaf Inc,20 Montview Drive,828-767-0388,HP 1124,Asheville,NC,28801
368,Euphoric Infusions,127 Chateau Road,919-638-4352,HP 1106,Durham,NC,27704
369,Evans MacTavish Agricraft,5123 Ivy Court,252-243-4006,HP 82,Wilson,NC,27893
370,"Every Day Optimal, LLC","105 Fairview Rd, Suite 40",833-228-8584,HP 566,Asheville,NC,28803
371,"Exceptional Extractions, LLC",3838 NC Highway 18 N,713-523-9595,HP 822,Sparta,NC,28675
372,Exclusive CBD LLC,4326 Kellybrook Drive,704-313-8212,HP 1081,Concord,NC,28025
373,Exotic Hemp Company LLC,15919 US-17 Suite-E,910-617-5726,HP 757,Hampstead,NC,28443
374,Exotic Plant,8640 University City Blvd A-3,980-200-5055,HP 1103,Charlotte,NC,28213
375,"Extraction Infrastructure, LLC",6758 NC 39 Hwy,919-495-5831,HP 850,Zebulon,NC,27597
376,extractX USA Inc,245 East Friendly Avenue,204-999-7449,HP 720,Greensboro,NC,27408
377,Extreme Hemp and CBD LLC,1010 Pitman Road,,HP 793,Greensboro,NC,27406
378,Exuma Sensation,1412 NE 25th St,336-414-5725,HP 1191,Winston-Salem,NC,27105
379,"Ezekiel's Garden, INC",252 Palm Road,919-451-4761,HP 424,Reidsville,NC,27320
380,Fancy Buttons Farm,259 Fancy Buttons Ln,704-634-6402,HP 936,Mocksville,NC,27028
381,Farm Dude Farms LLC,370 Cora Lane,919-413-4879,HP 961,Pittsboro,NC,27312
382,Farm Life Hemp LLC(621),2032 Farm Life School Rd,910-585-0836,HP 621,Carthage,NC,28327
383,Farm Lite Hemp LLC(632),2032 Farm Life School Road,910-585-0836,HP 632,Carthage,NC,28327
384,Farmer J LLC,1216 Thomas Ave,704-493-3199,HP 705,Charlotte,NC,28205
385,"Fasching, Joshua",2121 Central Ave 1001 West Tremont Avenue Unit C Charlotte NC 2,530-845-0173,HP 466,Charlotte,NC,28205
386,Favor Higher Ground,6219 Sid Crane Drive,706-351-2573,HP 1270,Charlotte,NC,28216
387,"Fesquet, Charles",108 S. Tracy Street,336-521-2162,HP 84,Kings Mountain,NC,28086
388,Field Laboratory Seven,1072 Laurel Creek Rd,252-347-2715,HP 1165,Todd,NC,28684
389,"Finch, John William",5958 West NC 97,252-883-7760,HP 85,Spring Hope,NC,27882
390,Firefly Farm CBD Processing,1341 US 64-74A Hwy,828-980-8402,HP 668,Rutherfordton,NC,28139
391,Fishermans Rest LLC,20311 Chartwell Center Drive Suite 1469,,HP 971,Cornelius,NC,28031
392,"Flat River Hemp Company, INC",757 Wheelers Church Road,919-819-8968,HP 86,Hurdle Mills,NC,27541
393,Flat River Infusions LLC (Garner),181 Wintergreen Drive,919-475-7350,HP 87,Garner,NC,27529
394,Flat River Infusions LLC (Roxboro),317 Lucy Garrett Road,919-475*7350,HP 88,Roxboro,NC,27573
395,Flow Euphoria L.L.C.,534 Malloy Rd,910-988-2997,HP 756,Lumber Bridge,NC,28357
396,Foes Inc,3824 Vane Court Suite B,,HP 707,Charlotte,NC,28206
397,Founder's Hemp,1157 S. Cox Street,888-334-4367,HP 90,Asheboro,NC,27203
398,"Four Springs Brewing Company, LLC",218 South Fayetteville Street,336-610-3722,HP 91,Asheboro,NC,27203
399,Four Winds Distributing,8008 Park Vista Circle,704-607-9266,HP 823,Charlotte,NC,28226
400,Foxfire Fields,343 Amber Mtn Rd,828-688-6801,HP 1008,Bakersville,NC,28705
401,"Frank's Perennial Border, Inc",1744 W Clemmonsville Rd,336-650-1111,HP 1164,Winston-Salem,NC,27127
402,Franny’s Farmacy (Asheville),211 Merrimon Ave. Unit 111,828-337-1025,HP 92,Asheville,NC,28801
403,Franny's Farmacy (Hendersonville),128 Henderson Crossing Plaza,828-337-1025,HP 402,Hendersonville,NC,28792
404,"FreeCo, Inc",231 Williams St.,910-485-5567,HP 341,Fayetteville,NC,28301
405,Freedom Hill Processing,227 W. 4th Street,704-412-0879,HP 763,Charlotte,NC,28202
406,Fresh Start,508 North Daughtry Street,813-758-5345,HP 1020,Rocky Mount,NC,27801
407,Full Spectrum Hydroponics,1620 E. 10th Street Suite 140,252-541-1182,HP 724,Roanoke Rapids,NC,27870
408,"Fullerton, John R.",77 Ridge Pine Ln,910-367-0085,HP 93,Sparta,NC,29675
409,FUMA Smokes LLC,340 NC-67,804-350-2389,HP 1130,East Bend,NC,27018
410,G S Herbs,1132 Deerfield Lane,252-217-2501,HP 1082,Jamesville,NC,27846
411,G.M. J. Inc,8640 University City Blvd A-3 P190,704-806-1571,HP 877,Charlotte,NC,28213
412,G.O Labs,PO Box 278,704-932-6195,HP 98,Kannapolis,NC,28082
413,Gaia Arise Farms,158 Goodyacre Dr.,828-246-8670,HP 700,Waynesville,NC,28786
414,"GAIA Herbs, Inc",101 Gaia Herbs Drive,828-883-6028,HP 250,Brevard,NC,28712
415,"Gary, Kortney",11 Duck Pond Ct.,919-441-1591,HP 571,Durham,NC,27703
416,Gassed Up LLC,5365 Robinhood Rd Suite D,336-815-1591,HP 1244,Winston-Salem,NC,27106
417,GB Labs LLC,794 American Way,724-456-7900,HP 898,Lexington,NC,27295
418,Geno Tech Processing LLC,4030 Wake Forest Road Suite 204,919-846-0300,HP 951,Raleigh,NC,27609
419,"Genoverde Biosciences, Inc.",205 W. Davie Street Suite 513,202-531-4897,HP 275,Raleigh,NC,27601
420,George D. Bell,122 Tarheel Dr.,"252-447-0271,252-671-5909",HP 1017,Havelock,NC,28532
421,George H. Myers & Son,6955 NC Hwy 62 North,336-380-7530,HP 957,Blanch,NC,27212
422,Georgia Harvest,5 Campbell Rd,224-217-0756,HP 934,Pinehurst,NC,28374
423,"Gibson, Duane",115 Blannahassett Island Road Studio 204,828-385-4442,HP 304,Marshall,NC,28753
424,"Gillespie, John F.",414 East Main Street,336-408-9447,HP 331,Boonesville,NC,27011
425,Good Health Good Life,1866 Oak Harbour Drive SW,910-755-6873,HP 100,Ocean Isle Beach,NC,28469
426,"Good Hemp, Inc","20311 Chartwell Center Drive, Suite 1469",,HP 1053,Cornelius,NC,28031
427,"Good Hemp, Inc.",20311 Chartwell Center Drive Suite 1469,,HP 1044,Cornelius,NC,28031
428,Grabb Inc,97 Bailey Road,919-422-8330,HP 695,Coats,NC,27521
429,Grady Boys Farming,128 Jerusalem Church Rd.,252-569-1714,HP 101,Seven Springs,NC,28578
430,Grandson Morgan Jr Inc,"8640 University City Blvd, A-3 P190",704-806-1571,HP 1118,Charlotte,NC,28213
431,Granite Springs Farm,266 Granite Springs,919-280-9704,HP 533,Pittsboro,NC,27312
432,"Grano, Rachel and Holland, Sarina",58 Hiawassee Street,415-306-6751,HP 102,Murphy,NC,28906
433,"Grapevine Group, LLC",209 W Worthington Ave,,HP 1188,Charlotte,NC,28203
434,NA,Suite 207,336-817-1410,HP 442,Winston-Salem,NC,27101
435,Grateful Green Farms LLC,6710 Old Shallotte Rd,910-617-2352,HP 1167,Ocean Isle,NC,28469
436,Great Smokies Cannabis LLC,89 Reems Creek Rd,828-230-4469,HP 777,Weaverville,NC,28787
437,"Great Wagon Road Distilling Co.,LLC",227 Southside Dr.,469-879-2981,HP 103,Charlotte,NC,28217
438,Green Bear USA,5556 Murphy Rd.,919-986-7145,HP 616,Fayetteville,NC,28312
439,"Green Biological, LLC",423 Eugene Ct.,336-253-0071,HP 443,Greensboro,NC,27401
440,Green Buffalo Farm LLC,"111 Fletcher Commercial Dr, STE B",704-464-3600,HP 511,Fletcher,NC,28732
441,"Green Compass Farms, LLC",211 South Mills Street,910-234-1707,HP 395,Chadbourn,NC,28431
442,"Green Compass, Inc","5598 Marvin K Moss Ln, Lab 1013",704-215-1885,HP 1185,Wilmington,NC,28409
443,"Green Extraction Technologies, Inc",112 Commerce Street,828-384-4828,HP 576,Brevard,NC,28712
444,Green Family Farm INT LLC,7715 Gorman Drive,,HP 425,Brown Summit,NC,27214
445,Green Growth Inc.,2615 E Weaver Street,919-943-6286,HP 963,Durham,NC,27707
446,Green Heart Collective,409 Barnes Road,336-618-1074,HP 109,Winston Salem,NC,27107
447,"Green Heffa Farms, Inc",0 Hinshaw Shop Road,"919-454-7331,919-656-4967",HP 343,Liberty,NC,27298
448,Green Hemp,7400 Six Forks Rd Suite 3,984-232-8981,HP 1040,Raleigh,NC,27615
449,Green Honey Charmer,38 River Stone Trail,n/a,HP 94,Asheville,NC,28805
450,"Green Kind Farm, LLC",PO Box 806,904-874-5068,HP 276,Enka,NC,28728
451,"Green Knob Farms, LLC",4655 Grubbs Rd,336-399-3205,HP 1157,Walkertown,NC,27051
452,Green Leaf Wellness LLC,4006 Strendal Dr,910-973-4500,HP 1138,Cary,NC,27519
453,"Green Life Distribution, LLC",7221 A Market Street,910-431-6090,HP 598,Wilmington,NC,28411
454,"Green Light Farm, LLC",1900 South Main Street,828-421-2408,HP 111,Waynesville,NC,28786
455,Green Lights Farm,1900 South Main Street,828-421-2408,HP 95,Waynesville,NC,28786
456,Green Meadow Botanicals,338 S. Sharon Amity Rd STE 180,980-395-2254,HP 654,Charlotte,NC,28211
457,"Green Oil Company, LLC",3604 Southern Dr,919-957-1500,HP 741,Efland,NC,27243
458,Green Re-Leaf LLC,132 Main Street East,828-238-6305,HP 549,Valdese,NC,28690
459,Green River Botanicals,36 Kel Co Road,828-670-8330,HP 96,Candler,NC,28715
460,"Green River Botanicals, LLC",36 Kel Co. Road,828-670-8330,HP 112,Candler,NC,28715
461,"Green Root Extraction Services, LLC",147 Lam Plant Road,919-633-9555,HP 320,Windsor,NC,27983
462,"Green Sheep, LLC",1301 Granada Dr.,919-332-7876,HP 105,Raleigh,NC,
463,Green Velvet Grove LLC,3240 Mill Creek Road,347-907-2661,HP 1050,Efland,NC,27243
464,"Green Vibes, LLC",POB 358,919-491-3622,HP 106,Pittsboro,NC,27312
465,"Greene, Matthew D.",177 Windjammer Way,828-699-0488,HP 104,Hendersonville,NC,28792
466,Greenfield Agronomics,208 S. King St.,252-325-0125,HP 108,Windsor,NC,27983
467,GreenLife Family Farms,281 Odell School Rd,980-248-6789,HP 792,Concord,NC,28027
468,Greenwealth LLC(110),2863 Frog Level Road,252-493-6721,HP 110,Greenville,NC,27834
469,Greenwealth LLC(97),2863 Frog Level Road,252-493-6721,HP 97,Greenville,NC,
470,GreenWilde Homestead,362 Blowhole Road,828-318-7768,HP 1091,Marshall,NC,28753
471,Grey Fern Herbal,504 Deaverview Road,864-316-0022,HP 478,Asheville,NC,28806
472,Grey Lyn Farms,525 Speight Rd.,704-794-8465,HP 1021,West End,NC,27376
473,Griffin and Griffin Analytical Associat,222 Smith Street Suite G,803-415-9315,HP 987,Wingate,NC,28974
474,Griffin Family Farms,2263 Hwy 218 E,704-695-2700,HP 996,Polkton,NC,28135
475,"Griffon Ag, LLC",1694 Avenue Rd.,252-975-3552,HP 107,Washington,NC,27889
476,Grimm's Horticultural Solutions,106 Cheyenne Trail,910-523-4201,HP 774,Wilmington,NC,28409
477,Grove Appalachia,3747 Hendersonville Road,828-707-1850,HP 1072,Fletcher,NC,28732
478,Grown 2 Gold LLC. (Wilmington),201 North Front St. Suite 404,833-334-2010,HP 386,Wilmington,NC,28401
479,"Grown 2 Gold, LLC (Atkinson)",296 Shermans Corner,910-540-3903,HP 113,Atkinson,NC,28421
480,Grown Under the Sun,16 Westwood Drive Suite B,828-216-4000,HP 293,Asheville,NC,28806
481,Guerrilla Hemp,9407 Wade's Dead End Road,919-357-6892,HP 1066,Cedar Grove,NC,27231
482,Gworks (2),185.5 Montana Ave,828-989-9581,HP 747,Asheville,NC,28806
483,Gworks (3),9 Birch Place,828-989-9581,HP 748,Asheville,NC,28801
484,H & M Diversified Holding LLC,7201 US 301 North,301-495-1520,HP 636,Battleboro,NC,27809
485,H & M Industries LLC,7201 US 301,786-395-5941,HP 563,Battleboro,NC,27809
486,H and L Farms LLC,411 Highway 258,757-513-4218,HP 578,Como,NC,27818
487,H.O.T. Organics,105 Inisfree Place,919-358-8506,HP 1061,Morrisville,NC,27560
488,Habibi Hemp,124 SW Maynard Rd Ste A,980-313-0027,HP 1030,Cary,NC,27511
489,Hacienda Hemp Company LLC,7201 US 301,786-395-5941,HP 717,Battleboro,NC,27809
490,"Haddad, Jamal",17444 Great Smoky Mountain Expressway,828-263-6796,HP 489,Waynesville,NC,28786
491,Hadley Mill Farm,2342 Castle Rock Farm Rd,919-323-7641,HP 927,Pittsboro,NC,27312
492,Halliard Analytical LLC,200 Pembroke CT,919-410-9580,HP 582,Wendell,NC,27591
493,Hambert Hemp Company LLC,9435 Durango Drive,336-813-3836,HP 115,Kernersville,NC,27284
494,Happy  Acres Hemp LLC,7901 Allen Black Rd,704-545-5966,HP 939,Mint Hill,NC,28227
495,Happy Farms LLC,515 Pennigar Road,281-660-4947,HP 277,Monroe,NC,28110
496,Happy Healings Inc,2916 Creek Moss Avenue,561-703-2246,HP 1031,Wake Forest,NC,27587
497,Happy Hemp Company LLC,410 Crowder Rd,336-451-4349,HP 307,Madison,NC,27025
498,Happy Hill Hemp Farm,463 Leesville Rd,910-733-5978,HP 1226,Fairmont,NC,28340
499,Happy Mountain Foods,920 Blairhill Road,980-859-7880,HP 116,Charlotte,NC,28604
500,Harbinger Farm,516 Mr. Jefferson State Park Road Unit C,812-320-2647,HP 117,West Jefferson,NC,28694
501,"Haroldson, Mark",3132 Kitty Hawk Rd,910-512-0658,HP 118,Wilmington,NC,28405
502,Harris Farms & Investors LLC,317 Dennis Harris Road,252-537-2765,HP 954,Macon,NC,27551
503,Harrison Tulloss II,7704 Harps Mill Rd,919-279-2080,HP 639,Raleigh,NC,27615
504,Harvest Moon Botanical Services LLC,853 Merrimon Ave,828-772-4899,HP 733,Asheville,NC,28804
505,Harvested Dreams LLC,3 Lakewood Dr,828-553-8925,HP 1259,Hendersonville,NC,28792
506,Headwater Farms,106 Hickory Hill Ln,828-545-9174,HP 680,Fletcher,NC,28732
507,"Healing Hemp Farm, LLC",7074 Muddy Creek Road,336-963-4850,HP 339,Archdale,NC,27263
508,Healing Springs Farmacy,1300 Ashe St.,,HP 879,Greensboro,NC,27406
509,Health Market,135 Parkway Office Court Ste 105,813-447-9973,HP 120,Cary,NC,27518
510,"Healthy Harvesting, LLC",3937 Chimney Rock Rd,877-419-9990,HP 807,Hendersonville,NC,28792
511,"Healthy Journey Dispensary, LLC",3525 Long Run Dr.,336-253-2545,HP 265,Greensboro,NC,27405
512,Heeks Farm LLC,3900 Hall Rd,919-627-2946,HP 278,Mangum,NC,27572
513,"Helbert, Megan",7 Lynwood Circle,828-450-8645,HP 474,Asheville,NC,28806
514,Hemp 4 Victory,146 Weaverville Rd,828-484-9870,HP 393,Asheville,NC,28804
515,"Hemp Black, Inc",7109 Cessna Drive,336-279-7800,HP 1178,Greensboro,NC,27401
516,Hemp Broker LLC,2318 Big Brush Creek Road,"717-623-3088,410-207-7023",HP 731,Green Mountain,NC,28740
517,Hemp Generation,200 Prima Dr.,336-708-9074,HP 123,Greensboro,NC,27455
518,Hemp Happy Farms,27 Cedar Point Way,828-513-1155,HP 124,Horse Shoe,NC,28742
519,"Hemp Healer Dispensary, LLC",460 Knollwood St.,336-448-5375,HP 564,Winston-Salem,NC,27103
520,Hemp Healing Extractions,395 West Hill St,919-922-6239,HP 1242,Goldsboro,NC,27534
521,Hemp Health,1617 Owen Drive,910-670-1494,HP 821,Fayetteville,NC,28304
522,Hemp Highway Health & Wellness,1147 N Bragg Blvd,910-436-2227,HP 892,Spring Lake,NC,28390
523,Hemp Hints,355 Aycock St,"980-622-0140,270-577-5739",HP 760,Concord,NC,28025
524,Hemp Hop LLC,2505 Derita Ave #26543,833-487-4367,HP 125,Charlotte,NC,28269
525,Hemp Leaf LLC,104  Lynn Drive,857-258-4983,HP 899,Carrboro,NC,27510
526,Hemp Magik,507 Elk Park Drive #507,828-774-9317,HP 126,Asheville,NC,28804
527,Hemp Oasis LLC,214 W Front Street,336-491-9006,HP 962,Burlington,NC,27215
528,Hemp Process Solutions,1078 Nikanor Rd,850-346-7346,HP 754,West Jefferson,NC,28694
529,Hemp Roots Tea L.L.C,91 Holbrook Rd,812-212-3468,HP 749,Candler,NC,28715
530,"Hemp Solutions, LLC",314 Burnt Pine Court,919-609-9606,HP 371,Apex,NC,27502
531,Hemp Star Farms & Farmacy LLC,750 Race Track Rd,919-921-1857,HP 980,La Grange,NC,28551
532,Hemp4Health.US LLC,209 North wood Dr.,336-909-2432,HP 398,Mount Airy,NC,27030
533,Hempax LLC,222 Industrial Blvd,516-641-0704,HP 981,Whiteville,NC,28472
534,"HempCan Labs, LLC",2481 Reliance Ave,919-387-0090,HP 121,Apex,NC,27539
535,"Hempco Holdings, LLC",106 Broad St.,919-208-5296,HP 357,Oxford,NC,27565
536,Hemp'd In,1903 N Harrison Ave #200,319-231-6683,HP 799,Cary,NC,27513
537,HempGenics LLC,5022 Emberly Dr,336-541-8212,HP 819,McLeansville,NC,27301
538,HEMPIRE,4218 Dock View Rd,910-747-2701,HP 1145,Fayetteville,NC,28306
539,Hempire Innovations LLC,981 Hodges Gap Rd,910-409-5624,HP 1203,Boone,NC,28607
540,"Hempleton Investment Group, INC",8528 Market Street,"910-409-4557,828-406-3643",HP 128,Wilmington,NC,28411
541,Hempnotic,3621 Daisyfield Dr,980-236-7092,HP 262,Charlotte,NC,28269
542,Hempnotic Hempire,"2411 Walters St, Suite A",336-327-2472,HP 1214,Greensboro,NC,27408
543,HEMPNOTIQ RX,4650 US Hwy 29 North,336-266-8356,HP 638,Greensboro,NC,27405
544,HemPomatics,4451 Vilana Ridge,470-257-9184,HP 1168,Raleigh,NC,27612
545,"Hempress Farms, LLC",707 N. Main Street,336-775-7663,HP 1093,Winston Salem,NC,27101
546,"Hempstead Botanicals, LLC",950 Saldeer Summit Road,828-215-5170,HP 302,Franklin,NC,28734
547,Hemptive,12600 Waterman Drive,440-263-4714,HP 499,Raleigh,NC,27614
548,Hemptron LLC,8 Waverly Rd,828-808-2464,HP 828,Asheville,NC,28803
549,Hendley's Farm,1476 Roby Conley Road,828-460-0292,HP 964,Marion,NC,28752
550,Herbal Innovations LLC,151 Herbal Ingenuity Way,336-818-2332,HP 896,Wilkesboro,NC,28697
551,Herbal Outcomes LLC,333 Dogwood Rd,"828-713-8075,828-507-8671",HP 941,Candler,NC,28715
552,NA,Ste. 204 #75471,1-855-437-2253,HP 419,Raleigh,NC,27606
553,"Heritage Farms, LLC",2044 Ashe Ave,910-263-0746,HP 130,Dunn,NC,28334
554,"Hexagon Hemp, Inc.",306 Lake Royale,404-434-6089,HP 745,Louisburg,NC,27549
555,High Cotton Hemp,1366 Bell Town Rd,252-809-2787,HP 1032,Williamston,NC,27892
556,"High Country Herbs, LLC",7410 Hwy 90,252-529-0517,HP 131,Collettsville,NC,28611
557,High Country Vapor Inc,705 Carl Eller Rd Suite A,828-680-1220,HP 835,Mars Hill,NC,28754
558,High Grade CBD,204 West 1st Street,252-916-6223,HP 826,Oak City,NC,27857
