,LegalName,Address,Mailing Address,Offsite Cultivation Address,Manufacture Address,Phone,Email,License,License Effective,License Expires,Owner / License,Services
89,Organica Patient Group Inc,"1720 E. Deer Valley Rd., Suite 101, Phoenix, AZ 85204","1720 E Deer Valley Road, Phoenix, AZ 85024",NA,NA,602-910-4152,"
opgcompliance@vextscience.com",00000065ESNW69665422,1/22/2021,1/21/2023,Organica Patient Group,Retail - Sell
90,"Pahana, Inc.","13631 N 59th Ave, Ste B110, Glendale, AZ 85304","1155 W Rio Salado Pkwy, Ste 201, Tempe, AZ 85281","15 N 57th Drive, Phoenix, AZ 85043",NA,850-508-0261,"
compliance@trulieve.com",00000018ESKD27426528,1/22/2021,1/21/2023,"Pahana, Inc.","Cultivation - Cultivate
Retail - Sell"
91,Patient Alternative Relief Center,"4201 E University Dr, Phoenix, AZ 85034","4201 E University Dr, Phoenix, AZ 85034",NA,NA,312-819-5061,"
azlicensing@verano.holdings",00000086ESQZ01367420,4/1/2021,1/21/2023,Patient Alternative Relief Center,Retail - Sell
92,"Patient Care Center 301, Inc.","2734 E Grant Rd, Tucson, AZ 85716","1155 W Rio Salado Pkwy, Ste 201, Tempe, AZ 85716","4002 N 36th Ave, Unit 100, Phoenix, AZ 85019",NA,850-559-7734,"
compliance@trulieve.com",00000004ESAN63639048,1/22/2021,1/21/2023,"Patient Care Center 301, Inc.","Cultivation - Manufacture
Cultivation - Cultivate
Cultivation - Prepare Edibles
Retail - Sell"
93,Perpetual Healthcare Inc,"4244 W Dunlap Rd Ste 1, Phoenix, AZ 85051","4244 W Dunlap Ave, Phoenix, AZ 85051",NA,NA,312-819-5061,"
azlicensing@verano.holdings",00000105ESDR54985961,3/23/2021,1/31/2023,Perpetual Healthcare Inc,Retail - Sell
94,Phoenix Relief Center Inc,"6330 S 35th Ave, Ste 104, Phoenix, AZ 85041","6330 S 35th Ave, Ste 104, Phoenix, AZ 85041",NA,NA,(602) 276-3401,"
phoenixreliefcenter@live.com",00000047ESRJ75098505,1/22/2021,1/21/2023,Phoenix Relief Center Inc,Retail - Sell
95,Phytotherapeutics Of Tucson,"2175 N 83rd Ave, Phoenix, AZ 85035","4455 E Camelback Rd E280, Phoenix, AZ 85018",NA,NA,(623) 244-5349,"
phyto2_swilcox@curaleaf.com",00000049ESUK39624376,1/22/2021,1/21/2023,Phytotherapeutics Of Tucson,Retail - Sell
96,Pinal County Wellness Center,"8970 N 91st Ave, Peoria, AZ 85345","4340 E Indian School Rd, Suites 21-580, Phoenix, AZ 85018",NA,NA,(623) 233-1010,"
copper@infinitebloom.com",00000059ESZW76539792,1/22/2021,1/21/2023,Pinal County Wellness Center,Retail - Sell
97,Piper's Shop LLC,"1807 W. Thatcher Blvd, Safford, AZ 85546","4121 E. Valley Auto Drive, Mesa, AZ 85206",NA,NA,928-266-2550,"
sara@sarapresler.com",00000138ESOA91816349,4/19/2021,4/18/2023,Piper's Shop LLC,NA
98,Ponderosa Botanical Care Inc,"9240 W Northern Ave, Ste 103b, Peoria, AZ 85345","2055 E. 5th Street, Tempe, AZ 85281","2055 E 5th Street, Tempe, AZ 85281","128 South River Drive, Tempe, AZ 85281",(480) 201-0000,"
jeremy.basha@sonoranroots.com",00000109ESVM44878444,9/22/2021,2/4/2023,Ponderosa Botanical Care Inc,"Cultivation - Process
Cultivation - Manufacture
Cultivation - Cultivate
Retail - Sell
Manufacture - Manufacture
Manufacture - Package & Store"
99,Pp Wellness Center,"8160 W Union Hills Dr Ste A106, Glendale, AZ 85308","4455 E Camelback Rd E280, Phoenix, AZ 85018",NA,NA,(623) 385-1310,"
glendale_swilcox@curaleaf.com",00000050ESTO08528992,1/22/2021,1/21/2023,Pp Wellness Center,Retail - Sell
